"","x"
"197","adalah presiden terbaik sepanjang sejarah dimuka bumi kebijakan yang dibuat pun saya akui mujarab distopia "
"198","new normal keadaan dibuat kamuflase normal"
"199","bahasa yg ngawur padahal pandemi covid meningkat"
"200","kedondong       "
"201","pemerintahan jokowi salah arah pilihan"
"202","lbh cpt lbh baik"
"203","perawat belum terima insentif covid yang dijanjikan pemerintah nasional"
"204","sok tau lo coba lihat yang ini kayak gini physical distancing nggak pak iya sih tapi rakyat n "
"205","satu lagi kebijakan mencla mencle  tetap rakyat yg jadi korbannya     "
"206","presiden hasil pencitraan waktu itu melanggar peraturan karna tidak menghidupkan lampu depan sekarang masuk mall ma "
"207","bapak ada kuota kan sampean delok iki lho apik"
"208","kamu kenal presidennya emang presidennya kenal kamu mendukung kediktatoran pak harto dan kengawuran jokow "
"209","rame nihh mutualan yukk     aku "
"210","bagaimana ini"
"211","daripada negara hancur"
"212","lagi ladenin orang yang pro pemerintah nih seru"
"213","gembar gembor new normal antara terlalu optimis atau nutupin kegagalan menangani pandemi       "
"214","jangan libatkan gugus tugas covid gunakan kpu pasti curve decrease  dan ngumuminnya tengah malam"
"215","beliau gak akan mau mundur lah kalian gak pernah tau enaknya duduk di kursi presiden buat b "
"216","yang di takut oleh bapak"
"217","saat ini indonesia tak punya pemimpin yang ada hanya penguasa   penguasa cenderung arogansi"
"218","kok kayak curhat nih orang"
"219","sebuah opini  pemerintah tidak akan menunjukkan keketatan dalam menjalankan psbb itu seperti fatamorgana karena pemerin "
"220","lanjutan vidio sebelumnya"
"221","tagar yg pas kayaknya"
"222","iki piye indonesia ku apa yg hrs kita lakukan"
"223","hehe hayooo siapa disini yang tidak mencontohkan hal baik yaaak betuuul pak tidak memberikan contoh yang "
"224","sudah ku bilaaang      pemerintah negaraku dungu     "
"225","buseeh orba yg sekarang  rezim milenial rasa kolonial maksud e si emak         "
"226","raja judi makau tutup usia triliunan rupiah jadi rebutan   klik link berita"
"227","tidak akan ada lg istilah non blok saat di mulai nya perang nanti jd hrs jelas berpihak kpd siapa se "
"228","persis kaya situng kpu udh diatur dari awal"
"229","kan ada ajudannya dong malah dilempar kayak ngasih makanan ke anj ng aja sih maklum cebong sama anj ng "
"230","yg mau bantah pasti dia anak pki"
"231","hastag viral ketika kapten inf ruslan buton menyampaikan pernyataan terbuka "
"232","seriusan ini  terbaik prank   "
"233","memang nya di bilang pendapat je itu sory baru tau sy bosss itu "
"234","oh baru tau dg ternyata ternyata pendapat mu dan mau tnya sejak kapan itu dibi "
"235","lebih nyawa petugas tps melayang tak satupun di usut"
"236","unfaedah bet"
"237","katanya bukan urusan saya"
"238","mengaku gagal"
"239","akan tercatat dalam sejarah presiden paling gak bermutu yg tidak dapat melindungi segenap tumpah darah bangsa indone "
"240","akan tercatat dalam sejarah presiden paling gak bermutu yg tidak dapat melindungi segenap tumpah darah bang "
"241","mata nya dibuka lebar lebar biar waras penglihatannya  mall sumarecon bekasi    "
"242","presiden tak punya prestasi ngga becus ngurus negara tahun berkuasa tak ada membawa perubahan untuk neger "
"243","indonesia bukan negara singapore atau eropa yang rakyat nya disiplin sehingga mereka mampu melewati masa kritis  "
"244","setuju bgt"
"245","kafir tuh jokowi buka mal knp tdk lo yiyirin"
"246","dasar kacung"
"247","ntar klu rakyat udh benar gelap mata habis kln semua"
"248","kirain dia"
"249","buseeh orba yg sekarang  rezim milenial rasa kolonial maksud e si emak      "
"250","beeeehhh  langsung diluruskan       cek jam terbit beritanya       mantap buzzerrp sekalian intel rezim rupanya t "
"251","omongan jae yg bener cuma ruwet ruwet ruwet omongan jae yg laen ngawur semua  "
"252","omongan dia yg bener cuma ruwet ruwet ruwet yg laen gak ada yg bener"
"253","semoga indonesia segera bangkit kembali aamiin   "
"254","hanya untuk mengenang mana pahlawan kemerdekaan indonesia sesuai uud pki atau kadrun  "
